ICORG,CISLOFA,ICDOD,DODAVATEL,UCELPLATBY,CASTKA,DATVYST,DATSPLAT,PLOZKA,UCETNIID,POZN
66003008,40301739,61058297,Active Radio a.s.,Odvysílání komunikačních prvků,16298.70,2023-12-31,2024-01-26,5169,FD2302997,
66003008,202300091,28733932,Bezpečně na silnicích o.p.s.,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Libereckém kraji za 12/2023,66246.41,2023-12-31,2024-02-02,5169,FD2302998,
66003008,9458173820,64949681,T-Mobile Czech Republic a.s.,služby symetrického internetu za 12/2023,18150,2023-12-31,2024-02-02,5162,FD2302999,
66003008,9660302834,64949681,T-Mobile Czech Republic a.s.,telekomunikační služby za 12/2023,9727.08,2023-12-31,2024-02-02,5162,FD2303000,
66003008,7600002232,49241931,LONDA spol. s r. o.,Odvysílání informačních reklamních spotů,155333,2023-12-21,2024-01-26,5169,FD2303001,
66003008,50230144,15891283,"EVROPA 2, spol. s r.o.",zajištění vysílání informačních spotů,135174.42,2023-12-31,2024-01-26,5169,FD2303002,
66003008,2302682,1279,"Státní tiskárna cenin, s.p.",Řidičské průkazy - PERSONALIZACE - 12/2023,2081539.43,2023-12-31,2024-02-02,5139,FD2303003,
66003008,2302684,1279,"Státní tiskárna cenin, s.p.",Řidičské průkazy BLESK - PERSONALIZACE - 12/2023,321248.22,2023-12-31,2024-02-02,5139,FD2303004,
66003008,2302685,1279,"Státní tiskárna cenin, s.p.",Průkaz PPZŘ - PERSONALIZACE 12/2023,7662.69,2023-12-31,2024-02-02,5139,FD2303005,
66003008,5183155291,47114983,"Česká pošta, s.p.",Kvalifikovaný certifikát,825,2023-12-31,2024-01-17,5168,FD2303006,
66003008,5183153250,47114983,"Česká pošta, s.p.",Časové razítko 12/2023,5880.60,2023-12-31,2024-01-17,5168,FD2303007,
66003008,2342132761,25656635,"Pražské vodovody a kanalizace, a.s.",Srážky 12/2023,26388,2023-12-31,2024-02-02,5151,FD2303008,
66003008,3100002551,45808163,"FASS, s.r.o.",PO a BOZP za 12/2023,12691.69,2023-12-31,2024-02-02,5169,FD2303009,
66003008,102300126,873195,"LABYRINT - středisko volného času, vzdělávání a služeb, Kladno, Arbesova 1187",dopravní výuka ZŠ na DDH Kladno za 9-11/2023,34200,2023-11-29,2024-02-02,5169,FD2303013,
66003008,230100076,8361053,stavbyadozory s.r.o.,Zajištění stavebního a technického dozoru,54450,2023-12-31,2024-02-07,6121,FD2303014,
66003008,20234849,27426653,BusinessCom a.s.,Servis KS za 12/2023,27951,2023-12-31,2024-02-02,5168,FD2303015,
66003008,24400003,28196449,AKR1 s.r.o.,tisky za 12/2023,32141.55,2023-12-31,2024-02-02,5171,FD2303016,
66003008,62308808,28168356,"NEWTON Media, a.s.",Monitoring médií 12/2023,8712,2023-12-31,2024-02-02,5169,FD2303017,
66003008,24200456,27608514,CompuNet s.r.o.,Podpora software LOGmanagerII. odst. 4 návrhu smlouvy do 18/07/2024 - 12/2023,11495,2023-12-31,2024-02-02,5168,FD2303018,
66003008,5236804658,60193336,O2 Czech Republic a.s.,"Telekomunikační služby, 12/2023",210912.10,2023-12-31,2024-02-02,5162,FD2303019,
66003008,9764004525,64949681,T-Mobile Czech Republic a.s.,telekomunikační služby za 12/2023,17188.05,2023-12-31,2024-02-02,5162,FD2303020,
66003008,100236412,25051865,ZENOVA services s.r.o.,úklidové služby za 12/2023,364107.15,2023-12-31,2024-02-14,5169,FD2303021,
66003008,100236413,25051865,ZENOVA services s.r.o.,spotřební materiál za 12/2023,50502.98,2023-12-31,2024-02-02,5139,FD2303022,
66003008,100236414,25051865,ZENOVA services s.r.o.,praní prádla za 12/2023,11525.25,2023-12-31,2024-02-02,5169,FD2303023,
66003008,100236417,25051865,ZENOVA services s.r.o.,zimní údržba za 12/2023,70301,2023-12-31,2024-02-02,5169,FD2303024,
66003008,523512,25726943,TCC s.r.o.,školení - Mgr. Dominik Chotěborský,14138.85,2023-12-31,2024-02-07,5167,FD2303026,
66003008,523513,25726943,TCC s.r.o.,proškolení vytipovaných zaměstanců MD,44770,2023-12-31,2024-02-07,5167,FD2303027,
66003008,523514,25726943,TCC s.r.o.,školení - Ivana Roulová,15869.15,2023-12-31,2024-02-07,5167,FD2303028,
66003008,2023584,311391,"CENDIS, s.p.",služby pro aplikaci ISNP - 5E - za 11/2023,22562.87,2023-12-31,2024-02-09,5168,FD2303030,
66003008,2023585,311391,"CENDIS, s.p.",podpora webového prostředí OCL 12/2023,3539.25,2023-12-31,2024-02-07,5168,FD2303031,
66003008,2023586,311391,"CENDIS, s.p.",poskytování odborných poradenských a dalších služeb 12/2023,802533,2023-12-31,2024-01-15,5168,FD2303032,
66003008,2023587,311391,"CENDIS, s.p.",provozování infolinky MD za 12/2023,220099,2023-12-31,2024-02-07,5169,FD2303033,
66003008,2023588,311391,"CENDIS, s.p.",správa a provoz IS ADR za 12/2023,70377.23,2023-12-31,2024-02-07,5168,FD2303034,
66003008,2302705,1279,"Státní tiskárna cenin, s.p.",digitální tachografy 2023,1250590.66,2023-12-31,2024-02-07,5139,FD2303036,
66003008,2302706,1279,"Státní tiskárna cenin, s.p.",digitální tachografy - infrastruktura 12/2023,484686.07,2023-12-31,2024-02-07,5168,FD2303037,
66003008,310231895,25434471,CardHouse s.r.o.,nákup spotřebního materiálu do tiskárny MATICA XID8600 600DPI pro tisk průkazů způsobilosti k vedení námořní jachty,5082,2023-12-31,2024-02-08,5139,FD2303038,
66003008,5230145,1484559,"INDUS FACILITY, spol. s r. o.",ostraha objektu za 12/2023 - paušál,698720.55,2023-12-31,2024-02-08,5169,FD2303039,
66003008,3601100831,61974731,"Trade FIDES, a.s.",servisní pohotovost za 12/2023,5929,2023-12-31,2024-02-08,5169,FD2303040,
66003008,3601100832,61974731,"Trade FIDES, a.s.",telekomunikační poplatky 12/2023,15306.50,2023-12-31,2024-02-08,5162,FD2303041,
66003008,41233989,27373665,OKsystem a.s.,aplikační podpora PIS za 12/2023,36300,2023-12-31,2024-02-08,5168,FD2303042,
66003008,2023589,311391,"CENDIS, s.p.",Technická správa budov a majetku 12/2023,664169,2023-12-31,2024-02-08,5169,FD2303043,
66003008,2023590,311391,"CENDIS, s.p.",odebraná dotovaná jídla důchodci za 12/2023,13966.28,2023-12-31,2024-02-08,5169,FD2303044,
66003008,2023591,311391,"CENDIS, s.p.",odebraná dotovaná jídla zaměstnanci za 12/2023,333989.11,2023-12-31,2024-02-08,5169,FD2303045,
66003008,2023592,311391,"CENDIS, s.p.",odebraná nedotovaná jídla zaměstnanci za 12/2023,69129.41,2023-12-31,2024-02-08,5169,FD2303046,
66003008,2023593,311391,"CENDIS, s.p.",služby provozního manažera PIS Ok Base 12/2023,26846.88,2023-12-31,2024-02-08,5168,FD2303047,
66003008,2023594,311391,"CENDIS, s.p.",Údržbový materiál 12/2023,8062,2023-12-31,2024-02-08,5171,FD2303048,
66003008,272023,4418077,Autoškola Janouš s.r.o,dopravní výuka ZŠ na DDH Žatec za 12/2023,20250,2023-12-21,2024-01-26,5169,FD2303049,
66003008,10000262,49777548,"33. základní škola Plzeň, T. Brzkové 31, příspěvková organizace",dopravní výuka ZŠ na DDH Plzeň za 12/2023,7170,2023-12-21,2024-01-19,5169,FD2303050,
66003008,2023595,311391,"CENDIS, s.p.",objednávka MKBCL 15.12.2023,750,2023-12-30,2024-02-08,5175,FD2303051,
66003008,2023598,311391,"CENDIS, s.p.",poskytování odborných poradenských a dalších služeb - Úprava webu BESIP,59570.72,2023-12-31,2024-01-19,5168,FD2303052,
66003008,2023599,311391,"CENDIS, s.p.",zajištění cateringu pro cca 350 osob na Vánočním setkání dne 19.12.2023,32953,2023-12-31,2024-02-08,5175,FD2303053,
66003008,2023601,311391,"CENDIS, s.p.","Webeditor a spolupráce na kampaních, projektové řízení za 12/2023",47619.55,2023-12-31,2024-01-16,5168,FD2303054,
66003008,7302300759,47547022,CHAPS spol.s.r.o.,provoz a softwarová údržba nadstavbových modelů CIS JŘ 12/2023,175450,2023-12-31,2024-02-08,5168,FD2303055,
66003008,7302300766,47547022,CHAPS spol.s.r.o.,Poskytování služeb - zajíštění řádného provozu za 12/2023,21380.70,2023-12-31,2024-02-08,5168,FD2303056,
66003008,3312044,28419766,RoadMedia s.r.o.,Tvorba map a grafické předlohy brožury pro prezentaci DSS3,165770,2023-12-31,2024-02-08,6119,FD2303057,
66003008,33822,26206846,Lékařský dům v Mezibranské s.r.o.,provedené zdravotní prohlídky 4.Q/2023,6897,2023-12-31,2024-02-08,5169,FD2303059,
66003008,202317,74705865,Charouz Miroslav Ing.,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Olomouckém kraji za 12/2023,3023.10,2023-12-31,2024-02-09,5169,FD2303060,
66003008,230107058,26439395,První certifikační autorita a.s.,elektronická pečeť za 12/2023,12101.21,2023-12-31,2024-02-09,5168,FD2303061,
66003008,2400300576,27218848,"KPCS CZ, s.r.o.",Pořízení digitálního certifikátu,6238.30,2023-12-31,2024-02-09,5168,FD2303062,
66003008,1823012328,48115908,"FTV Prima, spol. s r.o.",zajištění vysílání informačních spotů,726000,2023-12-31,2024-02-09,5169,FD2303063,
66003008,2401209,29108373,Marbes s.r.o.,Poskytování služeb základní podpory k systému HelpDesk za 10-12/2023,10043,2023-12-31,2024-02-09,5168,FD2303064,
66003008,2312307243,45800456,TV Nova s.r.o.,zajištění vysílání informačních spotů za 12/2023,1600000,2023-12-31,2024-02-09,5169,FD2303065,
66003008,3662300061,4308697,Aricoma Systems a.s.,Úprava aplikace IS TP - RFC 66/23 Zákonné změny 2023 2.etapa,1916640,2023-12-31,2024-02-09,6111,FD2303066,
66003008,3662300063,4308697,Aricoma Systems a.s.,Podpora provozu IS TP 12/2023,1210000,2023-12-31,2024-02-09,5168,FD2303067,
66003008,3202402,26986558,"Zajíček na koni, o.p.s.",propagační materiál Ministerstva dopravy ve formě zabalených perníčků,35000,2023-12-31,2024-01-26,5139,FD2303068,
66003008,5118592136,47114983,"Česká pošta, s.p.",poštovní služby,15207,2023-12-31,2024-01-26,5161,FD2303069,
66003008,5118594697,47114983,"Česká pošta, s.p.",poštovní služby - zákaznické jízdy 12/2023,4961,2023-12-31,2024-01-26,5169,FD2303070,
66003008,5118595701,47114983,"Česká pošta, s.p.",poštovní služby - balík do ruky,348,2023-12-31,2024-01-26,5169,FD2303071,
66003008,7102302833,61459445,"ČD-Telematika, a.s.",Údržba ICT infrastruktury 12/2023,23437.70,2023-12-31,2024-02-09,5162,FD2303072,
66003008,7112302834,61459445,"ČD-Telematika, a.s.",Telefonní linka ČDT 12/2023,1149.50,2023-12-31,2024-02-09,5162,FD2303073,
66003008,2023604,311391,"CENDIS, s.p.",služby v oblasti správy a provozu ICT za 12/2023 back office,220704,2023-12-31,2024-01-19,5168,FD2303075,
66003008,2023605,311391,"CENDIS, s.p.",služby rutinního provozu 12/2023,1861638.58,2023-12-31,2024-02-09,5168,FD2303076,
66003008,20231014,66638089,Milan Stehlík,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Ústeckém kraji 12/2023,12070.80,2023-12-31,2024-02-09,5169,FD2303077,
66003008,5831240020,2819678,O2 IT Services s.r.o.,Poskytování služeb provozu infrastruktury pro informační systémy MD 12/2023,4677156.99,2023-12-31,2024-02-14,5168,FD2303078,
66003008,2023606,311391,"CENDIS, s.p.",Provoz systému ISUA za 12/2023,145200,2023-12-31,2024-02-14,5168,FD2303079,
66003008,100236623,25051865,ZENOVA services s.r.o.,vícepráce za 12/2023,49023.09,2023-12-31,2024-02-14,5169,FD2303081,
66003008,2023607,311391,"CENDIS, s.p.",provoz NKM za 12/2023,523651.70,2023-12-31,2024-02-15,5168,FD2303082,
66003008,2023608,311391,"CENDIS, s.p.",řízení RSV a IS TP za 12/2023,80011.25,2023-12-31,2024-02-15,5168,FD2303083,
66003008,11230422,44994575,"Centrum dopravního výzkumu, v. v. i.",zajištění provozu a technické podpory Databáze stanovisek k územně plánovacím dokumentacím 1. 11. 2023 do 31. 12. 2023,16200,2023-12-31,2024-02-15,5168,FD2303084,
66003008,101069450,49704362,ASIANA s.r.o.,Letenky - Michal Reinohl - ZPC 489/2023,8038,2023-11-14,2024-01-19,5173,FD2303085,
66003008,20232471,29145121,Tender systems s.r.o.,"Podpora a rozšíření inf.systému - veřejné zakázky, 10-12/2023",26136,2023-12-31,2024-02-16,5168,FD2303086,
66003008,23203753,27596494,"Marking Center CZ, a.s.",vizitky,617,2023-12-21,2024-01-22,5139,FD2303087,
66003008,2023603,311391,"CENDIS, s.p.",zajištění webhostingu webových služeb za období 12/2023,5041.47,2023-12-31,2024-02-16,5168,FD2303088,
66003008,23751,25098039,"Becker a Poliakoff, s.r.o.",Poradenské a právní služby,177870,2023-12-31,2024-02-21,5166,FD2303089,
66003008,23110264,25143468,"SPM - Security Paper Mill, a.s.",registrační značky,69123.67,2023-12-21,2024-01-24,5139,FD2303091,
66003008,23110262,25143468,"SPM - Security Paper Mill, a.s.",registrační značky,1168944.70,2023-12-19,2024-01-24,5139,FD2303092,
66003008,132311363,28510011,"Komterm Čechy, s.r.o.","techn.správa, provoz a servis plynové kotelny za 12/2023",8525.30,2023-12-31,2024-01-25,5169,FD2303093,
66003008,132311364,28510011,"Komterm Čechy, s.r.o.",Opravy technologického zařízení plynové kotelny za 12/2023,1276.67,2023-12-31,2024-01-25,5171,FD2303094,
66003008,311037,306754,Správa sportovních a rekreačních zařízení Havířov,dopravní výuka ZŠ na DDH Havířov za 12/2023,12600,2023-12-31,2024-02-23,5169,FD2303095,
66003008,20231489,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 10/2023 - anglický jazyk",5308.27,2023-12-31,2024-02-23,5167,FD2303096,
66003008,20231491,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 11/2023 - anglický jazyk",35528.63,2023-12-31,2024-02-23,5167,FD2303097,
66003008,20231493,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 11/2023 - český jazyk",1633.50,2023-12-31,2024-02-23,5167,FD2303098,
66003008,20231494,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 11/2023 - německý jazyk",8167.50,2023-12-31,2024-02-23,5167,FD2303099,
66003008,20231495,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 12/2023 - anglický jazyk",39612.38,2023-12-31,2024-02-23,5167,FD2303100,
66003008,20231497,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 12/2023 - český jazyk",1633.50,2023-12-31,2024-02-23,5167,FD2303101,
66003008,20231498,27285359,Agentura Parole s.r.o.,"Jazyková výuka, 12/2023 - německý jazyk",10617.75,2023-12-31,2024-02-23,5167,FD2303102,
66003008,1232314541,70994226,"České dráhy, a.s.",Mezinárodní jízdenky - Tereza Čížková - ZPC 3001,2123,2023-12-31,2024-02-02,5173,FD2303104,
66003008,1230312,25720384,"WAK System,spol.s.r.o.","Tech. podpora provozu systému DOK, 4. čtvrtletí 2023",6534,2023-12-31,2024-02-05,5168,FD2303105,
66003008,11223,10411178,"Autoškola Cibulka, Varnsdorf",dopravní výuka na DDH Varnsdorf za 9-10/2023,4200,2023-12-17,2024-02-14,5169,FD2303106,
66003008,2023583,311391,"CENDIS, s.p.",Konzultační a poradenská činnost za 12/2023,57172.50,2023-12-31,2024-02-08,5168,FD2303107,
66003008,2023088,510653,Automoto klub Soběslav v AČR,dopravní výuka ZŠ na DDH Soběslav za 10-11/2023,12750,2023-11-15,2024-02-15,5169,FD2303109,
66003008,24110001,25143468,"SPM - Security Paper Mill, a.s.",registrační značky,118542.49,2024-01-04,2024-02-02,5139,FD2400001,
66003008,52024,9033181,"MediaKIDS Publishing s.r.o. (původně Valora Investment),",Inzerce v Časopisu Puntik 1-2/2024,27830,2024-01-04,2024-02-02,5169,FD2400003,
66003008,4801003427,62913671,"Up Česká republika, s. r. o.",stravenky,560000,2024-01-05,2024-01-18,5169,FD2400004,
66003008,132023,75255049,Zdeněk Patík,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy ve Zlínském kraji za 12/2023,48874.41,2024-01-01,2024-02-12,5169,FD2400005,
66003008,1322400033,63073188,"Přerost a Švorc - auto, s.r.o.",2 zimní pneumatiky včetně výměny na služební vozidlo škoda Superb 5AE 9340,8717,2024-01-03,2024-02-07,5171,FD2400006,
66003008,1322400026,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Škoda Superb, RZ: 5AE 9256",5555,2024-01-03,2024-02-07,5171,FD2400007,
66003008,483310006,1718053,Hyundai Praha Domanský s.r.o.,výměna nefunkční autobaterie na služebním vozidle Hyundai Tucson 5AP 3959,8133,2024-01-04,2024-02-07,5171,FD2400008,
66003008,24110003,25143468,"SPM - Security Paper Mill, a.s.",registrační značky,72906.13,2024-01-08,2024-02-07,5139,FD2400009,
66003008,240001,65765885,Centrum AMAVET - Junior Brno,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Jihomoravském kraji za 12/2023,76302,2024-01-01,2024-02-02,5169,FD2400010,
66003008,122023,1294253,Václava Ircingová,Provádění prevence v oblasti bezpečnosti silničního provozu a dopravní výchovy v Plzeňském kraji za 12/2023,28993,2024-01-01,2024-02-12,5169,FD2400011,
66003008,2024001,7521502,Adam Hříbal,fotodokumentace z natáčení televizního spotu pro BESIP,5000,2024-01-10,2024-01-16,5169,FD2400012,
66003008,44006,26206846,Lékařský dům v Mezibranské s.r.o.,provedená kontrola pracoviště,1512.50,2024-01-09,2024-02-12,5169,FD2400013,
66003008,102024,9033181,"MediaKIDS Publishing s.r.o. (původně Valora Investment),",Inzerce v Časopisu Tečka 1-2/2024,24200,2024-01-08,2024-02-09,5169,FD2400014,
66003008,241001,29023033,KO-OR.construction s.r.o.,Provedení revize elektrických obvodů v místnosti č.84/1P,7018,2024-01-10,2024-02-09,5169,FD2400015,
66003008,90111033,25145444,ICZ a.s.,provozní podpora stávající aplikace RSV za 12/2023,2172555,2024-01-01,2024-02-02,5168,FD2400016,
66003008,1322400068,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Hyundai i40, RZ: 5AE 2776",4050,2024-01-04,2024-02-09,5171,FD2400017,
66003008,1322400115,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Hyundai i40, RZ: 5AE 0472",2335,2024-01-08,2024-02-09,5171,FD2400018,
66003008,24110004,25143468,"SPM - Security Paper Mill, a.s.",registrační značky,102261.94,2024-01-11,2024-02-09,5139,FD2400019,
66003008,2024012008,47903783,Gordic spol. s r.o.,služby podpory eSSL 12/2023,212627.25,2024-01-01,2024-02-09,5168,FD2400020,
66003008,1322400089,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Hyundai i40, RZ: 5AE 0463",4050,2024-01-05,2024-02-09,5171,FD2400021,
66003008,1322400142,63073188,"Přerost a Švorc - auto, s.r.o.","servisní prohlídka včetně zajištění STK a měření emisí na služebním vozidle Hyundai i40, RZ: 5AE 2884",4050,2024-01-09,2024-02-09,5171,FD2400022,
